Date,District,PM2.5,PM10,NO2,SO2
01-01-16,Kolkata,-1,368.87,64.43,2
02-01-16,Kolkata,-1,387.22,78.33,-1
03-01-16,Kolkata,181,333.46,77.16,8.5
04-01-16,Kolkata,176,335.55,73.69,8.5
05-01-16,Kolkata,166,323.34,68.28,5.83
06-01-16,Kolkata,173,287.43,74.45,6.26
07-01-16,Kolkata,197,302.55,73.48,6.74
08-01-16,Kolkata,182,328.33,80.43,6.67
09-01-16,Kolkata,179,390.13,92.77,8.87
10-01-16,Kolkata,167,263.41,67.67,6.63
11-01-16,Kolkata,121,299.49,61.25,5.48
12-01-16,Kolkata,109,244.81,54.78,5.06
13-01-16,Kolkata,174,253.26,78.95,7.13
14-01-16,Kolkata,195,276.89,75.06,5.63
15-01-16,Kolkata,194,282.9,76.44,6.33
16-01-16,Kolkata,166,263.35,68.86,5.7
17-01-16,Kolkata,115,201.54,62.13,4.85
18-01-16,Kolkata,136,198.62,58.65,4.08
19-01-16,Kolkata,171,260.25,68.26,5.54
20-01-16,Kolkata,149.5,238.71,68.64,6.51
21-01-16,Kolkata,191,249.29,59.64,5.54
22-01-16,Kolkata,129,196.61,64.08,8.44
23-01-16,Kolkata,137,210.56,67.94,7.98
24-01-16,Kolkata,166,222.8,69.55,6.83
25-01-16,Kolkata,96,206.95,60.34,5.38
26-01-16,Kolkata,101,212.46,66.85,6.43
27-01-16,Kolkata,189,274.53,83,7.69
28-01-16,Kolkata,135,246.06,68.65,5.23
29-01-16,Kolkata,174,247.77,67.73,8.59
30-01-16,Kolkata,147,256.11,73.03,7.87
31-01-16,Kolkata,156,278.48,79.78,8.54
01-02-16,Kolkata,190,264.47,72.38,7.32
02-02-16,Kolkata,157,226.87,66.29,6.1
03-02-16,Kolkata,144,254.04,74.23,7.62
04-02-16,Kolkata,-1,186.39,55.48,4.82
05-02-16,Kolkata,144,237.41,63.24,6.52
06-02-16,Kolkata,132,199.95,58.5,5.61
07-02-16,Kolkata,137,242.23,66.39,6.93
08-02-16,Kolkata,157,289.66,68.3,7.25
09-02-16,Kolkata,116,231.6,54.51,4.92
10-02-16,Kolkata,83,202.92,50.62,4.56
11-02-16,Kolkata,157.5,260.92,69.99,8.46
12-02-16,Kolkata,188,277.83,64.48,7.54
13-02-16,Kolkata,51,120.24,48.29,3
14-02-16,Kolkata,73,159.46,51.42,3.96
15-02-16,Kolkata,90,228.61,56.5,6.21
16-02-16,Kolkata,74,156.07,50.94,4.06
17-02-16,Kolkata,110,180.74,62.65,4.91
18-02-16,Kolkata,105,183.73,56.55,4.82
19-02-16,Kolkata,91,189.62,65.06,6.07
20-02-16,Kolkata,98,180.23,62.76,6
21-02-16,Kolkata,92,184.22,59.58,5.52
22-02-16,Kolkata,107,190.07,61.07,5.17
23-02-16,Kolkata,69,158.27,51.63,3.47
24-02-16,Kolkata,84,168.63,52.49,5.27
25-02-16,Kolkata,89,199.64,49.98,4.5
26-02-16,Kolkata,34,81.7,34.85,2.72
27-02-16,Kolkata,49,90.63,41.37,2.96
28-02-16,Kolkata,55,83.7,46.06,3.27
29-02-16,Kolkata,76,129.39,50.85,3.77
01-03-16,Kolkata,62,128.91,44.15,3.07
02-03-16,Kolkata,103,152.99,55.98,3.98
03-03-16,Kolkata,64,117.45,47.63,3.46
04-03-16,Kolkata,54,110.25,44.81,3.82
05-03-16,Kolkata,63,98.56,43.84,2.81
06-03-16,Kolkata,69,118.26,48.57,3.43
07-03-16,Kolkata,74,134.82,49.58,4.69
08-03-16,Kolkata,78,140.48,46.43,3.68
09-03-16,Kolkata,91.5,181.49,55.44,5.42
10-03-16,Kolkata,58,134.45,52.62,3.8
11-03-16,Kolkata,65,128.68,44.52,3.38
12-03-16,Kolkata,83,148.77,50.36,5.47
13-03-16,Kolkata,91,166.08,52.01,5.36
14-03-16,Kolkata,73,147.3,46.77,3.9
15-03-16,Kolkata,77,150.35,45.68,3.49
16-03-16,Kolkata,72,139.31,49.74,4.34
17-03-16,Kolkata,59,122.31,42.66,3.31
18-03-16,Kolkata,83,144.05,46.97,4.22
19-03-16,Kolkata,89,159.29,51.16,4.87
20-03-16,Kolkata,77,127.12,40.96,4.11
21-03-16,Kolkata,53,98.61,33.16,2.94
22-03-16,Kolkata,43,96.69,32.91,2.59
23-03-16,Kolkata,57,104.86,41.9,4.12
24-03-16,Kolkata,78,158.06,48.45,5.45
25-03-16,Kolkata,84,157.11,44.72,4.55
26-03-16,Kolkata,63,140.63,45.01,5.29
27-03-16,Kolkata,50,107.24,33.99,3.25
28-03-16,Kolkata,52,85.24,35.77,3.56
29-03-16,Kolkata,46,86.86,33.17,3.3
30-03-16,Kolkata,69,123.97,43.37,4.98
31-03-16,Kolkata,55.5,111.58,39.64,4.01
01-04-16,Kolkata,48,85.39,38.84,3.83
02-04-16,Kolkata,45,80.41,34.63,4.43
03-04-16,Kolkata,42,68.05,36.31,3.82
04-04-16,Kolkata,40,70.56,34.11,3.58
05-04-16,Kolkata,37,73.68,32.33,2.95
06-04-16,Kolkata,47,79.18,34.83,4.11
07-04-16,Kolkata,43,84.61,34.98,3.17
08-04-16,Kolkata,60,114.11,48.23,5.09
09-04-16,Kolkata,62,119.08,41.49,5.41
10-04-16,Kolkata,50,107.95,41.21,4.08
11-04-16,Kolkata,57,108.48,40.61,5.43
12-04-16,Kolkata,50,96.71,34.13,3.42
13-04-16,Kolkata,45,108.38,42.64,4.19
14-04-16,Kolkata,62,125.67,44.79,5.01
15-04-16,Kolkata,55,121.54,40.73,4.66
16-04-16,Kolkata,41,89.76,33.76,3.68
17-04-16,Kolkata,49,87.48,33.8,3.78
18-04-16,Kolkata,53,81.38,30.57,3.82
19-04-16,Kolkata,43,77.09,29.95,3.46
20-04-16,Kolkata,39,78.32,38.13,3.28
21-04-16,Kolkata,45,93.8,35.06,4.2
22-04-16,Kolkata,33,75.9,36.94,4.44
23-04-16,Kolkata,32,66.81,30.89,2.25
24-04-16,Kolkata,42,82.7,32.2,3.83
25-04-16,Kolkata,41,83.99,36.72,3.13
26-04-16,Kolkata,34,99.32,31.57,3.68
27-04-16,Kolkata,26,69.26,28.31,3.13
28-04-16,Kolkata,32,64.02,32.07,4.11
29-04-16,Kolkata,48,83.28,36.09,4.52
30-04-16,Kolkata,40,80.99,36.09,4.56
01-05-16,Kolkata,33,66.2,32.56,3.33
02-05-16,Kolkata,29,64.08,29.24,3.26
03-05-16,Kolkata,45,115.21,36.69,5.91
04-05-16,Kolkata,56,77.87,33.87,3.94
05-05-16,Kolkata,40,74.96,33.93,4.33
06-05-16,Kolkata,38,84.3,40.93,5.11
07-05-16,Kolkata,41,79.97,35.17,4.27
08-05-16,Kolkata,34,70.82,31.15,3.87
09-05-16,Kolkata,30,65.92,35.29,2.54
10-05-16,Kolkata,32,55.86,30.21,2.73
11-05-16,Kolkata,36,62.33,39.41,4.79
12-05-16,Kolkata,39,65.27,35.69,4.72
13-05-16,Kolkata,37,74.59,34.05,4.3
14-05-16,Kolkata,42,83.56,36.71,5.17
15-05-16,Kolkata,29,57.71,29.01,3.65
16-05-16,Kolkata,22,50.68,30.71,3.36
17-05-16,Kolkata,57,65.97,31.5,3.77
18-05-16,Kolkata,23,45.05,31.76,3.51
19-05-16,Kolkata,30.5,63.14,34.12,3.84
20-05-16,Kolkata,34,55.17,29.93,3.92
21-05-16,Kolkata,21,29.54,25.02,2.68
22-05-16,Kolkata,24,74.31,27.46,2.95
23-05-16,Kolkata,37,190.16,33.07,2.83
24-05-16,Kolkata,44,247.91,34.24,3.33
25-05-16,Kolkata,36,101.3,39.38,4.43
26-05-16,Kolkata,32,71.08,34.91,4.54
27-05-16,Kolkata,34,63.34,30.67,3.43
28-05-16,Kolkata,39,84.31,34.01,5.1
29-05-16,Kolkata,41,77.38,33.07,4.29
30-05-16,Kolkata,48,102.44,38.43,5.4
31-05-16,Kolkata,37,75.82,32.64,4.34
01-06-16,Kolkata,45,62.54,30.65,4.31
02-06-16,Kolkata,39,77.63,32.95,4.56
03-06-16,Kolkata,36,54.39,29.18,3.51
04-06-16,Kolkata,31,46.39,27.54,3.24
05-06-16,Kolkata,35,52.73,31.14,3.47
06-06-16,Kolkata,33,66.2,33.35,4.26
07-06-16,Kolkata,19,40.54,25.73,3.39
08-06-16,Kolkata,30,56.04,35.19,4.61
09-06-16,Kolkata,33,53.18,32.44,3.74
10-06-16,Kolkata,24,42.08,29.33,3.26
11-06-16,Kolkata,36,62.06,34.17,4.69
12-06-16,Kolkata,40,88.1,34.25,4.76
13-06-16,Kolkata,43,82.93,33.79,4.71
14-06-16,Kolkata,27,56.44,30.58,2.58
15-06-16,Kolkata,19.5,32.87,25.75,2.37
16-06-16,Kolkata,34,55.75,33.34,3.75
17-06-16,Kolkata,46,82.56,33.92,5.13
18-06-16,Kolkata,36,71.29,32.38,3.96
19-06-16,Kolkata,29,47.17,29.36,3.99
20-06-16,Kolkata,25,38.1,25.48,3.75
21-06-16,Kolkata,30,50.99,27.44,3.82
22-06-16,Kolkata,32,48.79,31,3.99
23-06-16,Kolkata,34,62.18,33.67,4.31
24-06-16,Kolkata,28,52.48,31.06,4.12
25-06-16,Kolkata,26,42.27,28.46,3.56
26-06-16,Kolkata,24,42.15,28.2,3.62
27-06-16,Kolkata,33,64.4,32.04,4.85
28-06-16,Kolkata,29,61.58,29.81,3.13
29-06-16,Kolkata,51,79.06,36.14,4.75
30-06-16,Kolkata,30,44.2,29.22,3.36
01-07-16,Kolkata,23,53.01,29.71,3.95
02-07-16,Kolkata,25,37.57,25.91,3.35
03-07-16,Kolkata,23,39.94,28.6,3.14
04-07-16,Kolkata,16,33.71,25.77,3.03
05-07-16,Kolkata,18,39.96,25.1,2.96
06-07-16,Kolkata,37,57.68,30.93,3.62
07-07-16,Kolkata,24.5,39.58,27.31,2.87
08-07-16,Kolkata,27,54.6,28.92,4.33
09-07-16,Kolkata,29,55.44,27.25,3.53
10-07-16,Kolkata,24,41.09,26.57,3.34
11-07-16,Kolkata,21,36.34,27.04,3.03
12-07-16,Kolkata,23,36.91,23.87,3.04
13-07-16,Kolkata,21,29.56,25.5,2.6
14-07-16,Kolkata,20,29.22,24.11,2.9
15-07-16,Kolkata,38,65.09,30.79,4.41
16-07-16,Kolkata,32,60.33,30.51,3.93
17-07-16,Kolkata,28,50.96,27.29,3.07
18-07-16,Kolkata,22,44.48,26.88,2.88
19-07-16,Kolkata,25,58.19,26.43,3.51
20-07-16,Kolkata,21,43.76,25.3,3.44
21-07-16,Kolkata,27,52.69,28.29,3.47
22-07-16,Kolkata,21,47.03,25.34,3.04
23-07-16,Kolkata,23,39.17,22.88,3.01
24-07-16,Kolkata,21,34.04,25.12,2.99
25-07-16,Kolkata,25,39.06,25.6,3.25
26-07-16,Kolkata,21,28.82,21.08,2.66
27-07-16,Kolkata,19,26.97,21.42,2.59
28-07-16,Kolkata,27,38.51,23.4,3.6
29-07-16,Kolkata,25,37.8,23.49,3.83
30-07-16,Kolkata,28,48.96,26.76,4.28
31-07-16,Kolkata,36,66.01,30.47,5.09
01-08-16,Kolkata,41,65.04,30.18,4.94
02-08-16,Kolkata,28,50.49,25.81,3.42
03-08-16,Kolkata,38,61.62,31.53,4.8
04-08-16,Kolkata,28,43.7,28.12,3.72
05-08-16,Kolkata,21,28.06,21.41,2.77
06-08-16,Kolkata,20,23.63,19.88,2.57
07-08-16,Kolkata,26,41.86,25.74,3.94
08-08-16,Kolkata,23,36.86,23.28,3.41
09-08-16,Kolkata,21,33.49,23.48,2.98
10-08-16,Kolkata,30.5,55.97,25.72,3.31
11-08-16,Kolkata,20,30.67,22.25,2
