,Price,Beds,Baths,Half baths,Area,Address,City
0,"$135,000",4,2,,"1,716",919 7th St,Rock Springs WY 82901
1,"$1,995,000",6,3,1,"6,880",14 Mile Rd. Hwy 191,Rock Springs WY 82901
2,"$189,000",3,1,,"5,782",940 Jefferson,Rock Springs WY 82901
3,"$183,000",3,2,1,"1,701",6121 Wild Buffalo Ct,Rock Springs WY 82901
4,"$102,500",4,1,1,"1,916",412 Walnut Street,Rock Springs WY 82901
5,"$1,101,900",4,5,2,"10,300",1129 Hilltop Drive,Rock Springs WY 82901
6,"$195,000",2,,,,505 B Street,Rock Springs WY 82901
7,"$59,900",2,,,,1183 McTee,Rock Springs WY 82901
8,"$137,000",4,1,,"1,760",801 Rhode Island Ave,Rock Springs WY 82901
9,"$315,000",4,3,1,,331 Via Assisi,Rock Springs WY 82901
10,"$225,000",,,,,53 Moxa Arch,Rock Springs WY 82901
